date,time,open_price,high_price,low_price,close_price
2023-03-20,00:52:00,28116.25,28130.07,28080.3,28091.72
2023-03-20,00:53:00,28091.72,28110.99,28014.31,28043.78
2023-03-20,00:54:00,28043.78,28060.0,27962.16,27977.03
2023-03-20,00:55:00,27979.46,28019.42,27970.65,28001.57
2023-03-20,00:56:00,28001.57,28056.71,28000.11,28038.48
2023-03-20,00:57:00,28041.41,28051.43,27914.83,27934.18
2023-03-20,00:58:00,27936.35,27962.43,27856.9,27872.11
2023-03-20,00:59:00,27876.56,27959.8,27866.12,27923.37
2023-03-20,01:00:00,27918.86,27952.37,27820.64,27824.19
2023-03-20,01:01:00,27825.19,27876.55,27716.18,27775.01
2023-03-20,01:02:00,27775.01,27830.18,27722.96,27828.24
2023-03-20,01:03:00,27828.24,27875.2,27806.56,27854.26
2023-03-20,01:04:00,27854.25,27886.24,27827.91,27851.59
2023-03-20,01:05:00,27852.98,27873.26,27824.03,27828.05
2023-03-20,01:06:00,27831.15,27875.72,27793.71,27862.2
2023-03-20,01:07:00,27864.26,27957.48,27845.07,27928.66
2023-03-20,01:08:00,27931.07,28007.65,27928.66,27968.43
2023-03-20,01:09:00,27968.43,27974.97,27927.47,27948.67
2023-03-20,01:10:00,27948.67,27998.25,27947.0,27971.35
2023-03-20,01:11:00,27971.35,28029.54,27947.02,27952.79
2023-03-20,01:12:00,27956.14,27970.0,27903.35,27965.39
2023-03-20,01:13:00,27965.39,27970.36,27920.49,27951.73
2023-03-20,01:14:00,27950.41,27994.66,27936.68,27938.58
2023-03-20,01:15:00,27938.58,27996.37,27938.58,27965.62
2023-03-20,01:16:00,27965.62,27993.2,27958.11,27972.37
2023-03-20,01:17:00,27972.37,27976.18,27898.2,27898.32
2023-03-20,01:18:00,27901.42,27945.65,27895.79,27943.52
2023-03-20,01:19:00,27943.52,27988.0,27925.36,27979.03
2023-03-20,01:20:00,27979.03,27989.99,27913.57,27924.38
2023-03-20,01:21:00,27924.38,27950.0,27902.8,27941.65
2023-03-20,01:22:00,27941.65,27960.0,27866.63,27868.22
2023-03-20,01:23:00,27868.22,27919.73,27859.94,27908.76
2023-03-20,01:24:00,27908.76,27924.99,27882.81,27907.54
2023-03-20,01:25:00,27907.54,27918.95,27886.14,27898.91
2023-03-20,01:26:00,27898.91,27911.32,27861.83,27884.73
2023-03-20,01:27:00,27887.73,27912.0,27878.78,27898.97
2023-03-20,01:28:00,27900.09,27906.37,27844.98,27849.49
2023-03-20,01:29:00,27849.49,27905.31,27844.54,27892.68
